OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,229805,306807,204104,160977,111166
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,201017,278210,173315,137060,95349
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,229679,286278,196054,152931,104756
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,184163,300181,201797,152971,114049
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,265356,324674,219403,178116,114810
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,231065,288193,197083,157650,92810
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,265623,378639,241749,192284,122381
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,TRUE,2023-05-01T00:00:00,2023-05-31T23:59:59,Month,2023-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,200372,266900,171580,136725,97761
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,232332,310771,206329,162361,111727
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2023-04-01T00:00:00,2023-04-30T23:59:59,Month,2023-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198195,274516,170937,134828,93983
